cell,group in,nuclide,mean,std. dev.
1,1,O17,2.2447416788623746,0.007340446119563969
1,1,O18,3.3913760485508537,0.010769177947238872
1,1,O16,3.1714038272560825,0.009925624980315845
1,1,H2,2.857052564514934,0.00854081972178763
1,1,H1,9.283508445026687,0.03498563595743841
1,2,O17,4.038007526464108,0.044608424794525287
1,2,O18,3.1915687826526202,0.035206474615014326
1,2,O16,3.9012638168663134,0.043041707298402426
1,2,H2,4.091792705476108,0.045447244021054115
1,2,H1,28.443846521747158,0.3174356083053264
