material,group in,nuclide,mean,std. dev.
5,1,total,9.768332332157124e-05,1.3646169790986464e-06
5,2,total,0.0002098771344808258,1.6808831403956386e-06
5,3,total,0.00042824569383799406,4.717749246254209e-06
5,4,total,0.0004454525322619179,7.886465862521357e-06
5,5,total,0.0004550468758256888,4.829697361294429e-06
5,6,total,0.0004640198793124285,5.309779097859518e-06
5,7,total,0.0004810785561479952,5.226505942940333e-06
5,8,total,0.0005322846501645896,5.259158127808694e-06
