material,group in,group out,legendre,nuclide,mean,std. dev.
5,8,2,P0,total,0.0,0.0
5,8,2,P1,total,0.0,0.0
5,8,3,P0,total,0.0,0.0
5,8,3,P1,total,0.0,0.0
5,8,4,P0,total,0.0,0.0
5,8,4,P1,total,0.0,0.0
5,8,5,P0,total,0.0,0.0
5,8,5,P1,total,0.0,0.0
5,8,6,P0,total,3.148289284984406e-08,1.814472551062144e-08
5,8,6,P1,total,-2.3870287572447868e-08,1.428974860960217e-08
5,8,7,P0,total,4.739255437641415e-05,9.611801622376218e-07
5,8,7,P1,total,-6.879306687518375e-06,4.196846344672107e-07
5,8,8,P0,total,0.00040626637059052443,6.3943757781907875e-06
5,8,8,P1,total,2.7926323903807347e-05,1.224454117977542e-06
