material,group in,nuclide,mean,std. dev.
5,1,total,4.219664021785688e-06,7.476592571480052e-08
5,2,total,5.382479901173898e-07,6.759232885219101e-09
5,3,total,1.4697259660703144e-06,1.8671069002827155e-08
5,4,total,1.0577907545798666e-05,1.861964367136977e-07
5,5,total,1.9456926817880822e-05,2.065422695806477e-07
5,6,total,2.742622167131996e-05,3.1497876827631206e-07
5,7,total,4.1797210715826406e-05,4.5579345143311564e-07
5,8,total,7.859424230480106e-05,7.845040634298462e-07
