material,group in,group out,nuclide,mean,std. dev.
8,1,1,total,0.40999111435359387,0.00539699867377868
8,1,2,total,0.0040400689143432825,5.381404024382218e-05
8,2,1,total,0.0001089565184915306,1.9277479984633004e-06
8,2,2,total,0.4725788432671828,0.006920821542491811
