material,group in,group out,nuclide,mean,std. dev.
7,1,1,total,0.16501847991280433,0.002743870410860434
7,1,2,total,0.00023941583550474477,2.1289078402855523e-05
7,2,1,total,5.9589318363439494e-05,1.3260132614703615e-05
7,2,2,total,0.08693029973019402,0.0014857857004754273
