material,group in,group out,nuclide,mean,std. dev.
5,1,1,total,0.00026481642678480424,1.4999104277097434e-05
5,1,2,total,1.195559488870447e-06,8.424919687491554e-07
5,2,1,total,0.0,0.0
5,2,2,total,0.0004477863745197666,2.780321218519017e-05
