material,group in,group out,nuclide,mean,std. dev.
9,1,1,total,0.6600227910200622,0.006301917357167157
9,1,2,total,0.0013191743593107764,4.5568902233800076e-05
9,2,1,total,0.0010076216515736923,7.621773675062847e-05
9,2,2,total,0.8788649070965908,0.012919041129840658
