material,group in,group out,nuclide,mean,std. dev.
6,1,1,total,0.47988365089654106,0.007534006363093947
6,1,2,total,0.0002371044995204939,1.0037826814812258e-05
6,2,1,total,0.00037058356736781886,2.3474442191804643e-05
6,2,2,total,0.44684677786795446,0.006636401476187345
