cell,group in,group out,legendre,nuclide,mean,std. dev.
1,1,1,P0,total,0.6996442962735675,0.003961112254052878
1,1,1,P1,total,0.41143170859244743,0.0023391900478247625
1,1,2,P0,total,0.026546176499444015,0.00018525801049231803
1,1,2,P1,total,0.01047983978995029,8.79497420623663e-05
1,2,1,P0,total,0.0001764701769733362,2.1726184157702036e-05
1,2,1,P1,total,0.00014797949044560596,1.868491183466391e-05
1,2,2,P0,total,2.0130918158628783,0.0321993270461236
1,2,2,P1,total,0.746775564094885,0.011851672740043843
