material,group out,nuclide,mean,std. dev.
6,1,total,0.7508572470961868,0.0005400035202528405
6,2,total,0.248935667231475,0.00021209093915511407
6,3,total,0.0002070856723392149,3.8450423834309345e-06
6,4,total,0.0,0.0
