material,group in,nuclide,mean,std. dev.
6,1,total,0.3331819455759789,0.00019313660714453333
6,2,total,0.5048592691252031,0.0003284020043173402
6,3,total,0.5437778859369713,0.000434497436721285
6,4,total,0.4472360857057774,0.0002932137886615448
