material,group in,nuclide,mean,std. dev.
8,1,total,5.722118436606958e-10,3.631550199018734e-13
8,2,total,3.4406015984656697e-09,5.412597901727144e-13
8,3,total,1.9073024803570412e-07,4.012076037265518e-11
8,4,total,0.0,0.0
