material,group in,nuclide,mean,std. dev.
8,1,total,0.20301452236930745,0.0001298026023326103
8,2,total,0.40979474281711925,6.265208261896422e-05
8,3,total,0.4557612573728007,7.678207327198993e-05
8,4,total,0.4731918533176622,0.0003423197619571194
