material,group in,nuclide,mean,std. dev.
6,1,total,0.020312206500488254,1.196532844172229e-05
6,2,total,0.01175204947405127,8.796190547743298e-06
6,3,total,0.06447513849683191,6.246203779817506e-05
6,4,total,0.2492195261675182,0.0001655113056589581
