time,error,h
0,0,0
0.125,0.00022261488022839,0.17677669529664
0.25,0.00029586562832506,0.17677669529664
0.375,0.00030508310942539,0.17677669529664
0.5,0.0003011761023834,0.17677669529664
0.625,0.00029828452221883,0.17677669529664
0.75,0.00029736453827713,0.17677669529664
0.875,0.00029726464455686,0.17677669529664
1,0.0002973256116139,0.17677669529664
1.125,0.00029736664622229,0.17677669529664
1.25,0.00029737901244338,0.17677669529664
1.375,0.00029738002958447,0.17677669529664
1.5,0.0002973790396904,0.17677669529664
1.625,0.00029737844547904,0.17677669529664
1.75,0.00029737827956677,0.17677669529664
1.875,0.00029737827067559,0.17677669529664
2,0.00029737828550119,0.17677669529664
2.125,0.00029737829286358,0.17677669529664
2.25,0.00029737829379682,0.17677669529664
2.375,0.00029737829245911,0.17677669529664
2.5,0.00029737829098296,0.17677669529664
2.625,0.00029737828941734,0.17677669529664
2.75,0.00029737828787452,0.17677669529664
2.875,0.00029737828627165,0.17677669529664
3,0.00029737828466173,0.17677669529664
