material,group in,group out,legendre,nuclide,mean,std. dev.
6,3,9,P1,total,0.0,0.0
6,3,10,P0,total,0.0,0.0
6,3,10,P1,total,0.0,0.0
6,3,11,P0,total,0.0,0.0
6,3,11,P1,total,0.0,0.0
6,3,12,P0,total,0.0,0.0
6,3,12,P1,total,0.0,0.0
6,3,13,P0,total,0.0,0.0
6,3,13,P1,total,0.0,0.0
6,3,14,P0,total,0.0,0.0
6,3,14,P1,total,0.0,0.0
6,3,15,P0,total,0.0,0.0
6,3,15,P1,total,0.0,0.0
6,3,16,P0,total,0.0,0.0
6,3,16,P1,total,0.0,0.0
6,3,17,P0,total,0.0,0.0
6,3,17,P1,total,0.0,0.0
6,3,18,P0,total,0.0,0.0
6,3,18,P1,total,0.0,0.0
6,3,19,P0,total,0.0,0.0
6,3,19,P1,total,0.0,0.0
6,3,20,P0,total,0.0,0.0
6,3,20,P1,total,0.0,0.0
6,3,21,P0,total,0.0,0.0
6,3,21,P1,total,0.0,0.0
6,3,22,P0,total,0.0,0.0
6,3,22,P1,total,0.0,0.0
6,3,23,P0,total,0.0,0.0
6,3,23,P1,total,0.0,0.0
6,3,24,P0,total,0.0,0.0
6,3,24,P1,total,0.0,0.0
6,3,25,P0,total,0.0,0.0
6,3,25,P1,total,0.0,0.0
6,4,1,P0,total,0.0,0.0
6,4,1,P1,total,0.0,0.0
6,4,2,P0,total,0.0,0.0
6,4,2,P1,total,0.0,0.0
6,4,3,P0,total,0.0,0.0
6,4,3,P1,total,0.0,0.0
6,4,4,P0,total,0.1473822351998208,0.0015181672771266844
6,4,4,P1,total,0.06303281484394423,0.0008557363565940377
6,4,5,P0,total,0.02344452420398985,0.0003821457145971326
6,4,5,P1,total,-0.0012100843185647923,0.00020234751535896855
6,4,6,P0,total,0.007910049563603737,0.0002439744333136117
6,4,6,P1,total,0.00015855651524368663,0.00013041307779258332
6,4,7,P0,total,0.004301854515799235,0.0001619578582509024
6,4,7,P1,total,-0.0003255418767129147,8.860968998314861e-05
6,4,8,P0,total,0.0,0.0
6,4,8,P1,total,0.0,0.0
6,4,9,P0,total,0.0,0.0
6,4,9,P1,total,0.0,0.0
6,4,10,P0,total,0.0,0.0
6,4,10,P1,total,0.0,0.0
6,4,11,P0,total,0.0,0.0
6,4,11,P1,total,0.0,0.0
6,4,12,P0,total,0.0,0.0
6,4,12,P1,total,0.0,0.0
6,4,13,P0,total,0.0,0.0
6,4,13,P1,total,0.0,0.0
6,4,14,P0,total,0.0,0.0
6,4,14,P1,total,0.0,0.0
6,4,15,P0,total,0.0,0.0
6,4,15,P1,total,0.0,0.0
6,4,16,P0,total,0.0,0.0
6,4,16,P1,total,0.0,0.0
6,4,17,P0,total,0.0,0.0
6,4,17,P1,total,0.0,0.0
6,4,18,P0,total,0.0,0.0
6,4,18,P1,total,0.0,0.0
6,4,19,P0,total,0.0,0.0
6,4,19,P1,total,0.0,0.0
6,4,20,P0,total,0.0,0.0
6,4,20,P1,total,0.0,0.0
6,4,21,P0,total,0.0,0.0
6,4,21,P1,total,0.0,0.0
6,4,22,P0,total,0.0,0.0
6,4,22,P1,total,0.0,0.0
6,4,23,P0,total,0.0,0.0
6,4,23,P1,total,0.0,0.0
6,4,24,P0,total,0.0,0.0
6,4,24,P1,total,0.0,0.0
6,4,25,P0,total,0.0,0.0
6,4,25,P1,total,0.0,0.0
6,5,1,P0,total,0.0,0.0
6,5,1,P1,total,0.0,0.0
6,5,2,P0,total,0.0,0.0
6,5,2,P1,total,0.0,0.0
6,5,3,P0,total,0.0,0.0
6,5,3,P1,total,0.0,0.0
6,5,4,P0,total,0.0,0.0
6,5,4,P1,total,0.0,0.0
6,5,5,P0,total,0.1682010870862102,0.0015770603961828948
6,5,5,P1,total,0.06755974148866703,0.0007213775225957623
6,5,6,P0,total,0.02770304369215526,0.00041858219605537747
6,5,6,P1,total,-0.0027483461095646655,0.00019762173313548774
6,5,7,P0,total,0.004448513969480152,0.0001387773770377441
6,5,7,P1,total,0.0003525507039037952,8.802174838719232e-05
6,5,8,P0,total,0.0009708650580043286,7.821337278796905e-05
6,5,8,P1,total,-3.2900264048321924e-05,3.894170560441271e-05
6,5,9,P0,total,0.0,0.0
6,5,9,P1,total,0.0,0.0
6,5,10,P0,total,0.0,0.0
6,5,10,P1,total,0.0,0.0
