material,group in,group out,legendre,nuclide,mean,std. dev.
5,3,9,P1,total,0.0,0.0
5,3,10,P0,total,0.0,0.0
5,3,10,P1,total,0.0,0.0
5,3,11,P0,total,0.0,0.0
5,3,11,P1,total,0.0,0.0
5,3,12,P0,total,0.0,0.0
5,3,12,P1,total,0.0,0.0
5,3,13,P0,total,0.0,0.0
5,3,13,P1,total,0.0,0.0
5,3,14,P0,total,0.0,0.0
5,3,14,P1,total,0.0,0.0
5,3,15,P0,total,0.0,0.0
5,3,15,P1,total,0.0,0.0
5,3,16,P0,total,0.0,0.0
5,3,16,P1,total,0.0,0.0
5,3,17,P0,total,0.0,0.0
5,3,17,P1,total,0.0,0.0
5,3,18,P0,total,0.0,0.0
5,3,18,P1,total,0.0,0.0
5,3,19,P0,total,0.0,0.0
5,3,19,P1,total,0.0,0.0
5,3,20,P0,total,0.0,0.0
5,3,20,P1,total,0.0,0.0
5,3,21,P0,total,0.0,0.0
5,3,21,P1,total,0.0,0.0
5,3,22,P0,total,0.0,0.0
5,3,22,P1,total,0.0,0.0
5,3,23,P0,total,0.0,0.0
5,3,23,P1,total,0.0,0.0
5,3,24,P0,total,0.0,0.0
5,3,24,P1,total,0.0,0.0
5,3,25,P0,total,0.0,0.0
5,3,25,P1,total,0.0,0.0
5,4,1,P0,total,0.0,0.0
5,4,1,P1,total,0.0,0.0
5,4,2,P0,total,0.0,0.0
5,4,2,P1,total,0.0,0.0
5,4,3,P0,total,0.0,0.0
5,4,3,P1,total,0.0,0.0
5,4,4,P0,total,6.81424930431157e-05,2.0096776017554072e-06
5,4,4,P1,total,1.938179473699221e-05,1.0730279538767204e-06
5,4,5,P0,total,2.650320857738881e-05,1.0760802367970237e-06
5,4,5,P1,total,-6.776679042351501e-06,5.803726582400945e-07
5,4,6,P0,total,3.015154559429899e-08,3.015754408522647e-08
5,4,6,P1,total,2.9401340904970913e-08,2.9407190146633256e-08
5,4,7,P0,total,6.030309118859798e-08,6.031508817045294e-08
5,4,7,P1,total,3.5978204240589903e-09,3.5985361914515746e-09
5,4,8,P0,total,0.0,0.0
5,4,8,P1,total,0.0,0.0
5,4,9,P0,total,0.0,0.0
5,4,9,P1,total,0.0,0.0
5,4,10,P0,total,0.0,0.0
5,4,10,P1,total,0.0,0.0
5,4,11,P0,total,0.0,0.0
5,4,11,P1,total,0.0,0.0
5,4,12,P0,total,0.0,0.0
5,4,12,P1,total,0.0,0.0
5,4,13,P0,total,0.0,0.0
5,4,13,P1,total,0.0,0.0
5,4,14,P0,total,0.0,0.0
5,4,14,P1,total,0.0,0.0
5,4,15,P0,total,0.0,0.0
5,4,15,P1,total,0.0,0.0
5,4,16,P0,total,0.0,0.0
5,4,16,P1,total,0.0,0.0
5,4,17,P0,total,0.0,0.0
5,4,17,P1,total,0.0,0.0
5,4,18,P0,total,0.0,0.0
5,4,18,P1,total,0.0,0.0
5,4,19,P0,total,0.0,0.0
5,4,19,P1,total,0.0,0.0
5,4,20,P0,total,0.0,0.0
5,4,20,P1,total,0.0,0.0
5,4,21,P0,total,0.0,0.0
5,4,21,P1,total,0.0,0.0
5,4,22,P0,total,0.0,0.0
5,4,22,P1,total,0.0,0.0
5,4,23,P0,total,0.0,0.0
5,4,23,P1,total,0.0,0.0
5,4,24,P0,total,0.0,0.0
5,4,24,P1,total,0.0,0.0
5,4,25,P0,total,0.0,0.0
5,4,25,P1,total,0.0,0.0
5,5,1,P0,total,0.0,0.0
5,5,1,P1,total,0.0,0.0
5,5,2,P0,total,0.0,0.0
5,5,2,P1,total,0.0,0.0
5,5,3,P0,total,0.0,0.0
5,5,3,P1,total,0.0,0.0
5,5,4,P0,total,0.0,0.0
5,5,4,P1,total,0.0,0.0
5,5,5,P0,total,8.156021715073446e-05,2.0275264189993663e-06
5,5,5,P1,total,1.858182833373199e-05,1.03409975537157e-06
5,5,6,P0,total,2.7315368434058044e-05,9.415094357722002e-07
5,5,6,P1,total,-8.46634624506624e-06,5.436178971903471e-07
5,5,7,P0,total,0.0,0.0
5,5,7,P1,total,0.0,0.0
5,5,8,P0,total,0.0,0.0
5,5,8,P1,total,0.0,0.0
5,5,9,P0,total,0.0,0.0
5,5,9,P1,total,0.0,0.0
5,5,10,P0,total,0.0,0.0
5,5,10,P1,total,0.0,0.0
5,5,11,P0,total,0.0,0.0
5,5,11,P1,total,0.0,0.0
5,5,12,P0,total,0.0,0.0
5,5,12,P1,total,0.0,0.0
5,5,13,P0,total,0.0,0.0
5,5,13,P1,total,0.0,0.0
5,5,14,P0,total,0.0,0.0
5,5,14,P1,total,0.0,0.0
5,5,15,P0,total,0.0,0.0
5,5,15,P1,total,0.0,0.0
5,5,16,P0,total,0.0,0.0
5,5,16,P1,total,0.0,0.0
5,5,17,P0,total,0.0,0.0
5,5,17,P1,total,0.0,0.0
5,5,18,P0,total,0.0,0.0
5,5,18,P1,total,0.0,0.0
5,5,19,P0,total,0.0,0.0
5,5,19,P1,total,0.0,0.0
5,5,20,P0,total,0.0,0.0
5,5,20,P1,total,0.0,0.0
5,5,21,P0,total,0.0,0.0
5,5,21,P1,total,0.0,0.0
5,5,22,P0,total,0.0,0.0
5,5,22,P1,total,0.0,0.0
5,5,23,P0,total,0.0,0.0
5,5,23,P1,total,0.0,0.0
5,5,24,P0,total,0.0,0.0
5,5,24,P1,total,0.0,0.0
5,5,25,P0,total,0.0,0.0
5,5,25,P1,total,0.0,0.0
5,6,1,P0,total,0.0,0.0
5,6,1,P1,total,0.0,0.0
5,6,2,P0,total,0.0,0.0
5,6,2,P1,total,0.0,0.0
